cycle,old_mag,new_mag,old_phase,new_phase,old_freq,new_freq,old_rocof,new_rocof,old_dft_real,new_dft_real,old_dft_imag,new_dft_imag
1,1156180,578113,6513,6515,0,0,0,0,1439208,719545,1467539,733886
2,1156193,578112,6533,6533,0,3277043,0,0,1435777,717823,1470931,735569
3,1156180,578106,6551,6553,0,3277287,0,12200,1432320,716096,1474262,737232
4,1156185,578115,6571,6571,3278073,3277287,0,0,1428873,714376,1477615,738920
5,1156177,578109,6591,6591,3277946,3277287,0,0,1425408,712632,1480940,740587
6,1156179,578108,6609,6611,3278073,3277043,184572500,-12200,1421960,710910,1484254,742243
7,1156174,578111,6629,6629,3278073,3277287,-20668850,12200,1418477,709175,1487573,743908
